workflow_file,donor_id,scenario,timestamp,processed,notes
aug_gpt_6_gem_wo_rand23.json,aug_gpt_6_gem_wo,random,20241122_190517,No,
aug_gpt_6_gem_wo_donor80.json,aug_gpt_6_gem_wo,donor_dominant,20241122_190517,No,
aug_gpt_6_gem_wo_blend50.json,aug_gpt_6_gem_wo,balanced,20241122_190517,No,
aug_gpt_6_gem_wo_me80.json,aug_gpt_6_gem_wo,me_dominant,20241122_190517,No,
aug_gpt_7_gem_demo_rand50.json,aug_gpt_7_gem_demo,random,20241122_190518,No,
aug_gpt_7_gem_demo_donor80.json,aug_gpt_7_gem_demo,donor_dominant,20241122_190518,No,
aug_gpt_7_gem_demo_blend50.json,aug_gpt_7_gem_demo,balanced,20241122_190518,No,
aug_gpt_7_gem_demo_me80.json,aug_gpt_7_gem_demo,me_dominant,20241122_190518,No,
aug_gpt_7_gem_wo_rand55.json,aug_gpt_7_gem_wo,random,20241122_190519,No,
aug_gpt_7_gem_wo_donor80.json,aug_gpt_7_gem_wo,donor_dominant,20241122_190519,No,
aug_gpt_7_gem_wo_blend50.json,aug_gpt_7_gem_wo,balanced,20241122_190519,No,
aug_gpt_7_gem_wo_me80.json,aug_gpt_7_gem_wo,me_dominant,20241122_190519,No,
aug_gpt_8_gem_wo_rand55.json,aug_gpt_8_gem_wo,random,20241122_190520,No,
aug_gpt_8_gem_wo_donor80.json,aug_gpt_8_gem_wo,donor_dominant,20241122_190520,No,
aug_gpt_8_gem_wo_blend50.json,aug_gpt_8_gem_wo,balanced,20241122_190520,No,
aug_gpt_8_gem_wo_me80.json,aug_gpt_8_gem_wo,me_dominant,20241122_190520,No,
aug_gpt_9_gem_demo_rand56.json,aug_gpt_9_gem_demo,random,20241122_190521,No,
aug_gpt_9_gem_demo_donor80.json,aug_gpt_9_gem_demo,donor_dominant,20241122_190521,No,
aug_gpt_9_gem_demo_blend50.json,aug_gpt_9_gem_demo,balanced,20241122_190521,No,
aug_gpt_9_gem_demo_me80.json,aug_gpt_9_gem_demo,me_dominant,20241122_190521,No,
aug_gpt_9_gem_wo_rand30.json,aug_gpt_9_gem_wo,random,20241122_190522,No,
aug_gpt_9_gem_wo_donor80.json,aug_gpt_9_gem_wo,donor_dominant,20241122_190522,No,
